topk,ppr_normalization,data_file,Accuracy,Std
2,row,data/cora_ml.npz,0.6795500000000001,0.0015499999999999958
2,row,data/ms_academic.npz,0.9489,0.0040999999999999925
2,row,data/pubmed.npz,0.8407,0.0034999999999999476
2,cosine_similarity,data/cora_ml.npz,0.4706,0.06499999999999997
2,cosine_similarity,data/ms_academic.npz,0.921,0.0
2,cosine_similarity,data/pubmed.npz,0.69295,0.024150000000000005
4,row,data/cora_ml.npz,0.69815,0.0046499999999999875
4,row,data/ms_academic.npz,0.9484,0.0021999999999999797
4,row,data/pubmed.npz,0.8365,0.008599999999999997
4,cosine_similarity,data/cora_ml.npz,0.6223000000000001,0.015500000000000014
4,cosine_similarity,data/ms_academic.npz,0.9219999999999999,0.0005000000000000004
4,cosine_similarity,data/pubmed.npz,0.7238,0.05449999999999999
6,row,data/cora_ml.npz,0.6935,0.07430000000000003
6,row,data/ms_academic.npz,0.94475,0.005349999999999966
6,row,data/pubmed.npz,0.8386,0.0013999999999999568
6,cosine_similarity,data/cora_ml.npz,0.4582,0.11149999999999999
6,cosine_similarity,data/ms_academic.npz,0.9205,0.0
6,cosine_similarity,data/pubmed.npz,0.6903999999999999,0.03970000000000001
8,row,data/cora_ml.npz,0.72445,0.08975
8,row,data/ms_academic.npz,0.94695,0.0046499999999999875
8,row,data/pubmed.npz,0.8386,0.0
8,cosine_similarity,data/cora_ml.npz,0.46285,0.023249999999999993
8,cosine_similarity,data/ms_academic.npz,0.9205,0.0
8,cosine_similarity,data/pubmed.npz,0.6973499999999999,0.053149999999999975
10,row,data/cora_ml.npz,0.7384,0.060399999999999954
10,row,data/ms_academic.npz,0.9430499999999999,0.000250000000000028
10,row,data/pubmed.npz,0.83995,0.006950000000000012
10,cosine_similarity,data/cora_ml.npz,0.53405,0.15325
10,cosine_similarity,data/ms_academic.npz,0.9215,0.0010000000000000009
10,cosine_similarity,data/pubmed.npz,0.6656,0.0232
